Trial	Gender_Face1	Face1_nb	Face2_nb	Right_left_flip	Nb_Bubbles	Overlap_Target	Response	RT	Accuracy	Simi2Target	Trial_Reward
1	0	35	5	1	65	0	120	2.00756248203106	1	0	0
2	1	119	24	1	62	0	120	0.625764388008974	0	0	0
3	1	12	28	0	70	0	120	0.493362838053145	0	0	0
4	1	22	106	0	78	0	120	0.549846607958898	0	0	0
5	1	27	101	0	84	0	122	0.589354846975766	1	0	0
6	0	63	66	1	82	0	120	2.12997651193291	1	0	0
7	1	141	71	0	80	0	120	3.44100223400164	0	0	0
8	0	87	139	1	86	0	120	0.707953564007767	1	0	0
9	1	76	104	0	84	0	122	0.852563927997835	1	0	0
10	0	147	74	0	82	0	120	0.559872566955164	1	0	0
11	0	133	35	0	81	0	120	0.574744347017258	1	0	0
12	1	13	93	1	79	0	122	0.875131107051857	1	0	0
13	1	93	81	0	77	0	122	0.573823568993248	1	0	0
14	1	43	68	1	75	0	122	0.522045616991818	1	0	0
15	0	36	14	0	73	0	120	0.546951072989032	1	0	0
16	1	130	146	0	72	0	122	1.01871958596166	1	0	0
17	0	123	56	0	70	0	120	0.73491845803801	1	0	0
18	0	130	143	0	68	0	120	0.621274665929377	1	0	0
19	0	52	102	0	66	0	122	0.489255420048721	0	0	0
20	0	34	44	0	71	0	120	0.603580811992288	1	0	0
21	1	31	89	1	70	0	120	0.551315747899935	0	0	0
22	1	81	9	0	75	0	120	0.533978165010922	0	0	0
23	1	120	70	0	80	0	120	0.717954189050943	0	0	0
24	1	42	108	1	85	0	120	0.749729844974354	0	0	0
25	1	57	84	0	89	0	122	0.501427034032531	1	0	0
26	1	104	23	0	88	0	122	0.518567543011159	1	0	0
27	1	19	16	0	86	0	122	0.430315681966022	1	0	0
28	1	49	130	1	85	0	122	0.49014203902334	1	0	0
29	0	144	25	0	83	0	122	0.499448298010975	0	0	0
30	1	120	46	1	88	0	120	0.7136030519614	0	0	0
31	0	32	3	1	92	0	120	0.685049943975173	1	0	0
32	0	94	66	0	90	0	120	0.566959431977011	1	0	0
33	1	113	95	1	89	0	122	0.621365959057584	1	0	0
34	0	101	128	1	88	0	120	0.585557217011228	1	0	0
35	0	104	50	1	86	0	120	0.567208967986517	1	0	0
36	1	96	30	1	85	0	122	0.525027464027517	1	0	0
37	1	81	51	0	84	0	120	1.4763045089785	0	0	0
38	1	11	98	1	88	0	120	0.518274786998518	0	0	0
39	0	87	69	0	91	0	120	0.654588662902825	1	0	0
40	1	116	132	0	90	0	122	0.900302600930445	1	0	0
41	1	50	107	1	89	0	122	0.53869873995427	1	0	0
