Trial	Gender_Face1	Face1_nb	Face2_nb	Right_left_flip	Nb_Bubbles	Overlap_Target	Response	RT	Accuracy	Simi2Target	Trial_Reward
1	0	40	25	1	42	0	120	0.796408114023507	1	0	0
2	1	94	16	1	39	0	122	0.847576855216175	1	0	0
3	0	140	119	1	37	0	120	0.612797198817134	1	0	0
4	0	38	111	0	34	0	120	0.558342309202999	1	0	0
5	1	83	61	1	32	0	122	0.684559687972069	1	0	0
6	1	67	14	0	29	0	122	0.612112406175584	1	0	0
7	0	119	11	1	27	0	122	0.79343410115689	0	0	0
8	1	66	124	1	34	0	122	0.582957646343857	1	0	0
9	1	129	27	0	32	0	122	0.66004499187693	1	0	0
10	1	11	141	0	30	0	120	1.06275413325056	0	0	0
11	0	63	105	1	37	0	120	0.70331999193877	1	0	0
12	1	122	69	1	35	0	122	0.792337536811829	1	0	0
13	0	138	90	1	32	0	120	3.00536961480975	1	0	0
14	1	83	143	0	30	0	122	0.914793860167265	1	0	0
15	1	108	36	0	28	0	122	1.57082366803661	1	0	0
16	1	98	91	1	26	0	122	0.66518787201494	1	0	0
17	0	127	110	1	24	0	120	1.79438860528171	1	0	0
18	0	67	98	1	22	0	122	0.83145386306569	0	0	0
19	0	26	13	0	28	0	120	1.1954929837957	1	0	0
20	0	88	77	0	26	0	120	1.32868831930682	1	0	0
21	0	115	36	1	25	0	122	0.727392151020467	0	0	0
22	1	112	6	1	30	0	120	2.86422248417512	0	0	0
23	1	126	84	1	36	0	122	0.689678913913667	1	0	0
24	1	135	36	0	34	0	122	0.65794791188091	1	0	0
25	1	90	66	1	32	0	122	0.70865788590163	1	0	0
26	1	123	59	1	31	0	122	0.645680733956397	1	0	0
27	0	67	126	0	29	0	122	0.664455567952245	0	0	0
28	0	38	89	1	34	0	120	0.794462209101766	1	0	0
29	1	29	117	0	32	0	120	1.17602584790438	0	0	0
30	0	97	100	0	37	0	120	0.621903250925243	1	0	0
31	1	90	10	0	36	0	122	0.694822104182094	1	0	0
32	0	106	84	0	34	0	122	0.538644207175821	0	0	0
33	0	39	5	1	39	0	122	0.826015216764063	0	0	0
34	0	108	111	1	43	0	122	1.46929852804169	0	0	0
35	1	59	96	1	48	0	122	0.798963363748044	1	0	0
36	1	20	150	1	46	0	122	0.883978232275695	1	0	0
37	1	86	96	0	45	0	120	0.693774070590734	0	0	0
38	1	53	94	0	50	0	120	0.93558865506202	0	0	0
39	1	141	22	0	54	0	122	0.702553645707667	1	0	0
40	1	78	22	1	52	0	122	0.558397244196385	1	0	0
41	1	125	108	0	51	0	122	1.75736072007567	1	0	0
42	0	83	78	1	50	0	122	0.595295005012304	0	0	0
43	0	18	25	1	54	0	122	0.784124253783375	0	0	0
