Trial	Gender_Face1	Face1_nb	Face2_nb	Right_left_flip	Nb_Bubbles	Overlap_Target	Response	RT	Accuracy	Simi2Target	Trial_Reward
1	0	111	139	0	31	0	120	7.63826954993419	1	0	0
2	1	82	128	1	28	0	122	3.01058724604081	1	0	0
3	1	104	31	1	26	0	120	10.5764217239339	0	0	0
4	1	31	84	1	34	0	122	4.39539773704018	1	0	0
5	0	13	134	0	31	0	122	5.35584559990093	0	0	0
6	1	91	70	0	38	0	122	3.03539817000274	1	0	0
7	1	42	110	0	36	0	122	3.10881860298105	1	0	0
8	1	111	11	0	34	0	122	4.43514920701273	1	0	0
9	0	87	101	1	32	0	122	2.65745171403978	0	0	0
10	1	61	119	1	38	0	122	3.5871730260551	1	0	0
11	1	57	109	0	36	0	122	3.47641531308182	1	0	0
12	0	20	81	1	34	0	120	9.71742736594751	1	0	0
13	1	111	3	0	32	0	122	1.27705314499326	1	0	0
14	0	18	149	1	30	0	120	4.24798698793165	1	0	0
15	1	103	55	0	28	0	122	3.31874688598327	1	0	0
16	1	140	44	0	27	0	122	4.57248342398088	1	0	0
17	1	58	144	0	25	0	122	3.01225492404774	1	0	0
18	0	148	85	0	23	0	120	2.1278876530705	1	0	0
19	0	114	85	0	21	0	120	9.75939870090224	1	0	0
20	0	129	2	1	19	0	120	4.31016678200103	1	0	0
21	0	144	25	1	17	0	122	3.3380721390713	0	0	0
22	1	66	33	1	23	0	122	8.62945935595781	1	0	0
23	0	71	105	1	21	0	122	5.32323057891335	0	0	0
24	0	122	100	0	26	0	122	13.0996715330984	0	0	0
25	0	32	11	0	31	0	122	3.27742039598525	0	0	0
26	1	40	73	1	36	0	120	4.64478363108356	0	0	0
27	1	55	92	1	41	0	122	2.87378354195971	1	0	0
28	1	105	138	1	39	0	122	4.14617335400544	1	0	0
29	0	77	146	1	38	0	120	8.26879730308428	1	0	0
30	0	9	50	0	36	0	122	2.09767480392475	0	0	0
31	1	140	138	0	41	0	120	1.44179209007416	0	0	0
32	1	98	36	0	46	0	122	1.52742525597569	1	0	0
33	1	21	94	0	44	0	122	2.43349753005896	1	0	0
34	0	7	93	0	43	0	120	0.988378964015283	1	0	0
35	1	148	125	1	41	0	122	1.3315878440626	1	0	0
36	0	14	84	0	40	0	120	4.5166447700467	1	0	0
37	1	137	11	1	39	0	122	3.86310012894683	1	0	0
38	1	17	145	1	37	0	122	3.76494173705578	1	0	0
39	0	57	127	1	36	0	122	6.71930656209588	0	0	0
40	0	2	147	0	40	0	120	2.97393954801373	1	0	0
41	1	77	11	1	39	0	122	4.5624280780321	1	0	0
42	1	72	30	1	37	0	122	2.73900311789475	1	0	0
43	1	15	110	0	36	0	122	4.49818702903576	1	0	0
44	0	57	71	0	35	0	122	1.3252793350257	0	0	0
45	0	37	20	0	39	0	120	1.9505525319837	1	0	0
46	1	13	133	0	37	0	122	0.950500856968574	1	0	0
47	0	127	140	0	36	0	122	1.20736154599581	0	0	0
48	1	27	144	1	40	0	122	1.00572156498674	1	0	0
49	1	57	145	0	39	0	122	3.14068128098734	1	0	0
50	1	114	88	0	37	0	122	3.06563605705742	1	0	0
51	0	47	20	1	36	0	120	1.938331119949	1	0	0
52	1	124	112	0	35	0	122	3.61008209292777	1	0	0
53	1	10	147	1	34	0	122	1.76358909707051	1	0	0
54	1	89	142	0	33	0	122	1.60974701994564	1	0	0
55	1	37	86	1	32	0	122	2.32706394908018	1	0	0
56	0	150	141	1	31	0	122	1.70217741699889	0	0	0
57	1	23	90	1	34	0	122	5.56016497290693	1	0	0
58	0	43	37	1	33	0	120	2.50246653298382	1	0	0
59	1	30	63	1	32	0	122	2.63881026592571	1	0	0
60	0	3	138	1	31	0	120	2.40864939999301	1	0	0
61	1	70	48	1	30	0	122	3.02788049599621	1	0	0
62	1	101	37	0	29	0	120	2.8220253449399	0	0	0
63	1	56	51	0	32	0	122	1.82394268305507	1	0	0
64	0	86	75	1	31	0	120	1.37256273103412	1	0	0
65	1	123	109	1	30	0	122	2.21982328000013	1	0	0
66	1	83	148	1	29	0	122	0.975491647957824	1	0	0
67	1	26	73	0	28	0	122	6.27094324096106	1	0	0
68	0	33	57	0	27	0	120	2.14408053201623	1	0	0
69	0	147	109	1	26	0	120	2.23892620799597	1	0	0
70	1	30	147	0	25	0	120	2.36149763700087	0	0	0
71	0	123	2	0	28	0	120	4.70290742802899	1	0	0
72	0	146	119	1	27	0	120	2.05834300606512	1	0	0
73	0	62	51	1	26	0	120	1.57245614903513	1	0	0
74	1	88	95	0	25	0	122	1.94776566908695	1	0	0
75	0	21	101	1	24	0	120	2.29120873194188	1	0	0
76	0	55	83	1	23	0	120	1.07502544403542	1	0	0
77	0	58	1	1	22	0	122	1.91855257307179	0	0	0
78	1	61	41	0	25	0	122	1.91976632003207	1	0	0
79	1	42	139	1	24	0	122	1.39967893005814	1	0	0
80	0	17	90	0	23	0	120	2.88658979593311	1	0	0
81	0	119	15	1	23	0	120	2.15828762599267	1	0	0
82	1	109	140	1	22	0	122	1.50037555594463	1	0	0
83	0	118	73	0	21	0	120	0.957888512057252	1	0	0
84	0	112	87	1	20	0	120	1.71900707401801	1	0	0
85	1	5	34	1	19	0	122	1.80715713906102	1	0	0
86	0	81	6	1	19	0	120	4.55561285896692	1	0	0
87	1	13	123	1	18	0	122	4.02999219601043	1	0	0
88	0	116	48	1	17	0	122	4.50055152794812	0	0	0
89	0	139	140	0	19	0	120	1.38498717499897	1	0	0
90	1	5	8	1	19	0	122	0.83972430601716	1	0	0
91	1	136	53	0	18	0	122	1.34073651605286	1	0	0
92	0	15	116	1	17	0	120	2.48522958101239	1	0	0
93	1	12	127	0	16	0	122	2.15823447995353	1	0	0
94	1	90	49	0	16	0	122	1.8666708819801	1	0	0
95	1	113	133	0	15	0	120	3.61298004596028	0	0	0
96	1	103	32	1	17	0	122	2.19725172396284	1	0	0
97	0	89	96	1	16	0	120	1.64209879899863	1	0	0
98	1	126	4	1	16	0	122	2.72579190705437	1	0	0
99	1	64	110	0	15	0	122	3.61143095407169	1	0	0
100	0	109	108	0	14	0	122	3.47650687699206	0	0	0
101	0	94	136	1	20	0	122	3.65084493206814	0	0	0
102	0	126	87	1	28	0	120	2.37604290491436	1	0	0
103	0	11	24	1	26	0	122	6.02306052506901	0	0	0
104	0	39	36	1	33	0	122	1.86669396189973	0	0	0
105	0	22	57	1	40	0	122	2.54144271404948	0	0	0
106	0	80	13	0	46	0	120	2.94738559308462	1	0	0
107	1	82	134	0	44	0	122	1.33583180001006	1	0	0
108	1	113	87	1	42	0	122	3.09783729398623	1	0	0
109	0	116	138	1	40	0	122	3.57676510198507	0	0	0
110	1	89	15	0	46	0	122	3.28721173794474	1	0	0
111	1	15	143	1	44	0	122	5.48973182507325	1	0	0
112	1	55	138	0	42	0	120	3.65207272802945	0	0	0
113	1	107	34	1	48	0	122	2.12381244299468	1	0	0
114	0	76	142	0	46	0	122	4.45133088203147	0	0	0
115	1	99	125	0	51	0	122	4.55282050697133	1	0	0
116	0	101	38	0	50	0	120	1.87241284595802	1	0	0
117	0	52	112	0	48	0	122	3.3797901510261	0	0	0
118	0	32	45	0	53	0	122	2.98298106202856	0	0	0
119	0	22	38	0	58	0	120	2.83440384001005	1	0	0
120	1	107	145	1	56	0	122	0.836149942013435	1	0	0
121	1	14	56	1	55	0	122	4.72956647502724	1	0	0
122	0	142	34	0	53	0	120	2.13146315095946	1	0	0
123	0	149	85	0	52	0	120	7.61379822297022	1	0	0
124	0	60	9	0	50	0	122	4.78720663301647	0	0	0
125	0	100	42	0	55	0	120	2.70731643692125	1	0	0
126	1	28	85	1	53	0	122	1.36276774900034	1	0	0
127	0	8	18	1	52	0	120	3.98592147696763	1	0	0
128	0	50	134	0	50	0	120	4.45969896693714	1	0	0
129	0	51	96	0	49	0	120	1.24933252902701	1	0	0
130	0	29	69	1	48	0	122	6.30131634196732	0	0	0
131	0	116	18	1	52	0	122	5.40559471095912	0	0	0
132	1	50	73	0	56	0	122	1.77844453102443	1	0	0
133	0	52	68	1	55	0	120	1.68883657897823	1	0	0
134	0	33	46	1	53	0	122	3.5072014000034	0	0	0
135	0	124	129	1	57	0	120	2.76876233692747	1	0	0
136	1	42	45	1	56	0	120	2.78208366199397	0	0	0
137	0	2	30	1	60	0	122	2.51432629209012	0	0	0
138	0	4	121	0	64	0	120	1.35263430699706	1	0	0
139	1	147	32	1	63	0	122	3.48240672296379	1	0	0
140	0	147	57	0	61	0	120	6.26500436104834	1	0	0
141	1	89	121	0	60	0	120	4.84195482707582	0	0	0
142	1	98	148	0	64	0	122	3.24824566498864	1	0	0
143	1	129	145	1	63	0	122	2.92766179190949	1	0	0
144	1	25	147	0	61	0	120	5.35883414198179	0	0	0
145	1	33	127	0	65	0	122	5.6855708550429	1	0	0
146	0	8	27	1	64	0	122	4.77546545001678	0	0	0
147	1	30	129	1	67	0	120	2.89541416394059	0	0	0
148	1	24	139	1	71	0	122	2.88591328402981	1	0	0
149	0	32	91	1	70	0	120	2.6702323659556	1	0	0
150	1	72	76	1	69	0	120	4.03070999705233	0	0	0
151	1	55	17	0	72	0	122	0.877795104985125	1	0	0
152	0	91	19	0	71	0	120	1.23403483303264	1	0	0
153	0	97	59	1	70	0	120	0.758788179024123	1	0	0
154	0	44	119	1	69	0	120	1.66400531295221	1	0	0
155	1	57	75	0	68	0	122	0.851999175036326	1	0	0
156	1	87	103	1	67	0	122	8.52910056593828	1	0	0
157	1	4	107	1	66	0	122	5.38711262005381	1	0	0
158	1	44	30	0	64	0	122	2.83296408003662	1	0	0
159	1	99	79	1	63	0	122	3.47533337795176	1	0	0
160	1	98	80	0	62	0	122	1.75385476800147	1	0	0
161	1	130	71	1	61	0	122	4.33748810703401	1	0	0
162	0	65	12	0	60	0	120	2.40416410600301	1	0	0
163	1	109	148	0	59	0	122	2.64024570898619	1	0	0
164	1	136	99	0	58	0	122	7.54615012393333	1	0	0
165	1	145	87	1	58	0	122	2.55707531096414	1	0	0
166	1	99	64	0	57	0	122	4.17849219101481	1	0	0
167	0	87	86	1	56	0	122	4.10794875596184	0	0	0
168	1	108	101	0	58	0	122	4.97672345209867	1	0	0
169	1	132	116	0	58	0	122	2.94442223606165	1	0	0
170	1	89	54	0	57	0	122	3.64553512597922	1	0	0
171	0	121	100	1	56	0	120	3.59687067498453	1	0	0
172	1	97	97	0	55	0	122	2.89098270109389	1	0	0
173	1	148	26	0	54	0	122	2.330742572085	1	0	0
174	1	28	22	0	53	0	122	1.75331472000107	1	0	0
175	0	123	82	0	52	0	120	3.71362630499061	1	0	0
176	0	71	8	0	51	0	120	4.16583389800508	1	0	0
177	0	71	96	1	51	0	122	3.73526563704945	0	0	0
178	1	125	52	1	53	0	122	3.89848098100629	1	0	0
179	0	37	110	0	52	0	120	3.79526113404427	1	0	0
180	0	37	45	1	51	0	120	2.43726250994951	1	0	0
181	1	6	70	1	51	0	122	4.12758106004912	1	0	0
182	0	21	102	0	50	0	120	3.92231545690447	1	0	0
183	1	80	27	0	49	0	122	4.14376010803971	1	0	0
184	0	96	18	1	48	0	120	3.68147684005089	1	0	0
185	0	111	11	0	47	0	120	3.76708507305011	1	0	0
186	1	53	134	1	47	0	122	4.30543245398439	1	0	0
187	0	102	55	0	46	0	122	3.90959344594739	0	0	0
188	0	56	95	0	48	0	120	3.16276207508054	1	0	0
189	1	82	112	1	47	0	122	2.26264445495326	1	0	0
