Trial	Gender_Face1	Face1_nb	Face2_nb	Right_left_flip	Nb_Bubbles	Overlap_Target	Response	RT	Accuracy	Simi2Target	Trial_Reward
1	1	147	43	1	15	0	122	40.2851137559628	0	0	0
2	0	71	105	0	23	0	120	9.19934945600107	0	0	0
3	0	39	117	0	30	0	122	90.4966267539421	1	0	0
4	1	140	14	1	27	0	120	1.51633536000736	1	0	0
5	1	24	103	0	25	0	122	13.7781233229907	0	0	0
6	1	19	15	0	32	0	120	1.54987022199202	1	0	0
7	0	137	115	0	30	0	122	1.12525534792803	1	0	0
8	1	79	91	0	28	0	120	5.46059211506508	1	0	0
9	1	82	95	1	26	0	120	1.78453655005433	1	0	0
10	0	120	26	1	24	0	120	8.30865127092693	0	0	0
11	1	28	31	0	30	0	120	12.5810645009624	1	0	0
12	0	84	35	1	28	0	120	24.0134391610045	0	0	0
13	1	88	81	1	34	0	120	23.7235337980092	1	0	0
14	0	103	109	0	32	0	122	2.55458617000841	1	0	0
15	1	144	65	0	30	0	120	24.7298478300218	1	0	0
16	0	43	101	0	28	0	122	4.75207756902091	1	0	0
17	1	128	71	0	27	0	120	2.0488157090731	1	0	0
18	1	6	78	1	25	0	120	2.9873921420658	1	0	0
19	1	104	136	1	23	0	120	3.23711790097877	1	0	0
20	1	80	46	0	22	0	120	29.9874023849843	1	0	0
21	0	9	63	0	20	0	120	12.2326935359742	0	0	0
22	1	22	17	0	25	0	120	1.15762606100179	1	0	0
23	1	62	70	1	24	0	120	3.31874464498833	1	0	0
24	1	6	112	1	22	0	120	7.79607563803438	1	0	0
25	0	14	115	0	20	0	120	5.43393674003892	0	0	0
26	1	28	46	1	25	0	120	2.96395946608391	1	0	0
27	0	84	3	0	24	0	122	3.14072221599054	1	0	0
28	0	94	73	1	22	0	122	1.35082731803413	1	0	0
29	1	73	111	0	21	0	120	11.8544379749801	1	0	0
30	0	109	4	1	19	0	122	2.91175973194186	1	0	0
31	1	24	148	0	18	0	122	7.93731483095326	0	0	0
32	0	38	63	0	22	0	122	1.87382534600329	1	0	0
33	0	87	27	0	21	0	122	10.7989794920431	1	0	0
34	0	80	41	1	19	0	122	9.92489250097424	1	0	0
35	1	55	135	1	18	0	120	4.24484425992705	1	0	0
36	0	47	80	0	16	0	122	5.36794606200419	1	0	0
37	0	47	110	0	15	0	122	3.48738419101574	1	0	0
38	0	90	29	0	14	0	122	18.0328087649541	1	0	0
39	1	140	137	0	13	0	122	6.53216318204068	0	0	0
40	0	64	79	0	17	0	122	7.32110687508248	1	0	0
41	0	86	121	1	15	0	122	6.47366392996628	1	0	0
42	1	82	111	0	14	0	120	3.29879623395391	1	0	0
43	1	117	21	1	13	0	122	9.16747767908964	0	0	0
44	0	98	30	1	17	0	120	3.16854582203086	0	0	0
45	1	110	48	0	20	0	120	3.75151617196389	1	0	0
46	0	149	65	0	19	0	120	4.00649630906992	0	0	0
47	1	98	55	1	23	0	120	4.34696637094021	1	0	0
48	1	43	149	0	21	0	120	4.81736491597258	1	0	0
49	1	31	50	0	20	0	120	3.1322041680105	1	0	0
50	0	123	144	0	19	0	122	8.3018115159357	1	0	0
51	1	92	55	0	18	0	120	4.35070672410075	1	0	0
52	1	31	27	1	17	0	120	3.19728795695119	1	0	0
53	0	43	127	0	16	0	122	1.90887112298515	1	0	0
54	1	19	122	0	15	0	120	0.964875741978176	1	0	0
55	1	125	81	0	14	0	120	27.1781030769926	1	0	0
56	1	32	44	0	13	0	120	13.7455929650459	1	0	0
