Trial	Gender_Face1	Face1_nb	Face2_nb	Right_left_flip	Nb_Bubbles	Overlap_Target	Response	RT	Accuracy	Simi2Target	Trial_Reward
1	0	34	129	1	40	0	122	9.87353762192652	1	0	0
2	1	16	10	1	37	0	122	6.57528531900607	0	0	0
3	1	58	29	1	45	0	120	2.60591819905676	1	0	0
4	1	44	89	1	43	0	120	2.82181932905223	1	0	0
5	0	34	73	0	41	0	122	2.39403560699429	1	0	0
6	1	84	13	1	39	0	122	2.20741756400093	0	0	0
7	1	98	56	0	46	0	120	3.16416179598309	1	0	0
8	1	37	102	0	44	0	120	1.68776174308732	1	0	0
9	0	107	148	0	41	0	120	2.13319219998084	0	0	0
10	0	71	44	1	48	0	120	1.8250012700446	0	0	0
11	0	75	28	0	54	0	120	1.79343304899521	0	0	0
12	1	127	66	0	59	0	122	2.96676717000082	0	0	0
13	0	36	135	1	65	0	122	1.98159550700802	1	0	0
14	0	59	85	0	63	0	120	1.42744642193429	0	0	0
15	0	81	57	1	68	0	120	1.87913416093215	0	0	0
16	0	101	78	0	73	0	122	2.45731315505691	1	0	0
17	0	106	24	0	72	0	122	5.66068616800476	1	0	0
18	0	13	19	0	70	0	120	0.887527563027106	0	0	0
19	0	52	116	0	75	0	120	0.992727097938769	0	0	0
20	0	52	25	1	79	0	122	1.51822459301911	1	0	0
21	1	17	54	0	78	0	120	1.33504922292195	1	0	0
22	1	5	82	1	76	0	122	1.14287851797417	0	0	0
23	1	98	51	1	81	0	120	1.05459199799225	1	0	0
24	0	20	109	1	79	0	122	1.53834317508154	1	0	0
25	0	77	146	0	78	0	122	1.21715603896882	1	0	0
26	0	4	5	1	76	0	122	1.20603176101577	1	0	0
27	0	145	79	1	75	0	122	1.13871401303913	1	0	0
28	0	58	18	1	74	0	122	1.01887711300515	1	0	0
29	0	45	26	1	72	0	122	1.17507594905328	1	0	0
30	1	85	134	0	71	0	120	1.23712601093575	1	0	0
31	0	84	93	1	70	0	122	1.29688699904364	1	0	0
32	0	49	132	0	68	0	122	1.07469489809591	1	0	0
33	1	77	20	0	67	0	120	1.62139522307552	1	0	0
34	1	23	119	1	66	0	120	0.977840165025555	1	0	0
35	1	43	81	1	65	0	120	1.15221334493253	1	0	0
36	0	40	27	1	63	0	122	1.21161535498686	1	0	0
37	0	66	60	1	62	0	122	1.26811783993617	1	0	0
38	1	120	115	0	61	0	122	1.38274895201903	0	0	0
39	1	108	142	1	65	0	120	1.3244786709547	1	0	0
40	0	33	57	0	63	0	122	1.03584036696702	1	0	0
41	0	10	23	0	62	0	122	0.888779712026007	1	0	0
42	1	118	71	0	61	0	122	1.02612528810278	0	0	0
43	1	28	32	0	65	0	120	1.12591924401931	1	0	0
44	1	119	101	0	64	0	120	1.22242274694145	1	0	0
45	0	50	31	0	62	0	122	1.1708192860242	1	0	0
46	1	133	85	0	61	0	120	1.19290634000208	1	0	0
47	1	84	63	0	60	0	122	1.15066499600653	0	0	0
48	1	64	117	0	63	0	120	1.15852634701878	1	0	0
49	1	56	69	1	62	0	120	1.62670842302032	1	0	0
50	0	114	46	1	61	0	122	1.14511937601492	1	0	0
51	0	100	91	1	60	0	122	0.85660969093442	1	0	0
52	1	67	141	1	59	0	120	0.963669309974648	1	0	0
53	1	19	35	0	58	0	120	1.05907633795869	1	0	0
54	0	9	103	0	57	0	122	0.981753860018216	1	0	0
55	0	140	7	1	56	0	122	0.947956318967044	1	0	0
56	1	53	59	1	55	0	120	0.843879994004965	1	0	0
57	1	121	56	1	54	0	120	1.05956561001949	1	0	0
58	1	149	81	0	53	0	122	0.974695960991085	0	0	0
59	1	147	64	1	56	0	120	0.933355432935059	1	0	0
60	1	125	146	0	55	0	122	1.2701258410234	0	0	0
61	1	19	104	0	58	0	120	0.944099418935366	1	0	0
62	0	43	146	1	57	0	122	0.879715115996078	1	0	0
63	0	47	131	0	56	0	122	0.857469551032409	1	0	0
64	1	20	73	1	55	0	120	1.34061981795821	1	0	0
65	0	98	42	1	54	0	120	0.877040224033408	0	0	0
66	1	15	113	1	57	0	122	1.08631727402098	0	0	0
67	0	89	127	1	60	0	122	0.808600743999705	1	0	0
68	1	25	69	0	59	0	122	0.749409843003377	0	0	0
69	1	97	112	1	61	0	120	1.0608943561092	1	0	0
70	1	95	145	1	60	0	120	1.00835710507818	1	0	0
71	1	141	131	1	60	0	122	2.17996788199525	0	0	0
72	0	75	81	0	62	0	122	0.770684952032752	1	0	0
73	0	21	127	0	61	0	122	0.633140365011059	1	0	0
74	1	150	100	1	60	0	120	0.812662167940289	1	0	0
75	0	130	89	1	60	0	122	0.68993088696152	1	0	0
76	0	103	107	1	59	0	122	0.722584203002043	1	0	0
77	1	133	6	0	58	0	120	0.907872045994736	1	0	0
78	1	40	4	0	57	0	120	0.620657327002846	1	0	0
79	0	25	16	0	56	0	122	0.970043489011005	1	0	0
80	1	15	8	1	55	0	122	0.696130017982796	0	0	0
81	1	102	60	0	58	0	120	0.817108047078364	1	0	0
82	1	119	82	0	57	0	120	1.6776785729453	1	0	0
83	1	137	69	0	56	0	120	1.82425960502587	1	0	0
84	1	109	74	0	55	0	120	0.818630566936918	1	0	0
85	0	34	133	1	55	0	122	0.639261106960475	1	0	0
86	0	115	8	1	54	0	122	0.938518626964651	1	0	0
87	1	37	21	1	53	0	122	0.818851329036988	0	0	0
88	0	97	19	1	55	0	122	0.671661318046972	1	0	0
89	1	21	35	1	55	0	120	0.905040662968531	1	0	0
90	1	13	50	0	54	0	120	2.73128400894348	1	0	0
91	0	7	100	0	53	0	122	0.649935359018855	1	0	0
92	0	128	80	1	52	0	122	0.782203935901634	1	0	0
93	1	96	70	0	52	0	120	0.699943404993974	1	0	0
94	1	66	14	0	51	0	122	0.917329778079875	0	0	0
95	0	65	17	1	53	0	122	1.06933270592708	1	0	0
96	1	124	74	0	52	0	122	0.988703461945988	0	0	0
97	1	113	26	1	55	0	120	0.589447694947012	1	0	0
98	0	1	21	1	54	0	122	0.683117457083426	1	0	0
99	0	115	118	0	53	0	122	1.02892070193775	1	0	0
100	0	110	12	1	52	0	122	0.673020164947957	1	0	0
101	0	44	59	1	52	0	122	0.871872801915742	1	0	0
102	0	79	127	1	49	0	122	0.594568358035758	1	0	0
103	0	147	19	0	47	0	122	0.615803777007386	1	0	0
104	1	99	55	1	44	0	120	0.655467548989691	1	0	0
105	1	107	78	0	42	0	120	0.530525948968716	1	0	0
106	0	127	111	0	39	0	122	0.827008616062813	1	0	0
107	1	76	35	1	37	0	122	2.13543081597891	0	0	0
108	1	91	57	0	44	0	120	0.639733033953235	1	0	0
109	0	63	133	1	42	0	122	0.730773488990963	1	0	0
110	0	133	126	1	40	0	122	0.986805660068057	1	0	0
111	0	40	78	1	37	0	122	0.713183876010589	1	0	0
112	0	87	147	1	35	0	120	3.32158351002727	0	0	0
113	0	16	76	1	42	0	122	0.76210989500396	1	0	0
114	0	13	11	0	40	0	122	2.0454670409672	1	0	0
115	0	109	25	1	38	0	122	1.47657259600237	1	0	0
116	1	2	149	1	36	0	122	2.32609215402044	0	0	0
117	1	9	109	1	42	0	122	0.638590934919193	0	0	0
118	0	135	23	0	48	0	122	2.44951385306194	1	0	0
119	1	41	113	0	46	0	120	0.852967225015163	1	0	0
120	1	120	69	1	44	0	122	0.92070162401069	0	0	0
121	0	117	32	1	50	0	122	0.648885710979812	1	0	0
122	1	55	39	0	48	0	120	0.852813057950698	1	0	0
123	0	119	109	1	46	0	122	0.783856294932775	1	0	0
124	0	118	75	0	44	0	120	1.11754875304177	0	0	0
125	0	43	96	0	50	0	122	0.942370521021076	1	0	0
126	1	56	99	1	48	0	120	0.709059031913057	1	0	0
127	1	96	52	1	46	0	120	0.870375743950717	1	0	0
128	1	138	131	0	45	0	120	2.67177273903508	1	0	0
129	0	43	21	1	43	0	122	0.762283827061765	1	0	0
130	0	48	10	1	42	0	122	0.609530764981173	1	0	0
131	0	99	71	1	40	0	122	1.13409947801847	1	0	0
132	1	119	147	0	38	0	122	0.814091942971572	0	0	0
133	1	102	67	1	43	0	120	1.89812403405085	1	0	0
134	0	45	7	0	42	0	122	0.715476607088931	1	0	0
135	1	104	66	0	40	0	120	0.653339225915261	1	0	0
136	1	64	134	0	39	0	122	1.15133977402002	0	0	0
137	0	72	8	1	43	0	122	0.703441787045449	1	0	0
138	1	12	1	0	42	0	120	1.23265213309787	1	0	0
139	0	13	51	1	40	0	122	0.844714239006862	1	0	0
140	1	90	84	1	39	0	120	1.84865847602487	1	0	0
141	0	24	13	0	38	0	120	2.46688028296921	0	0	0
142	1	104	131	0	42	0	122	2.86978031403851	0	0	0
143	1	80	54	1	46	0	120	0.936469270032831	1	0	0
144	0	101	97	1	45	0	122	1.04835498798639	1	0	0
145	1	102	28	0	43	0	120	1.05188283603638	1	0	0
146	0	92	55	0	42	0	122	0.982589997001924	1	0	0
147	1	116	98	1	41	0	120	2.10111118596978	1	0	0
148	0	106	114	0	39	0	122	1.18261140200775	1	0	0
149	1	31	81	0	38	0	120	1.06819278106559	1	0	0
150	1	137	45	1	37	0	122	2.54276985896286	0	0	0
151	0	57	9	1	40	0	122	1.33459651400335	1	0	0
152	0	36	12	0	39	0	122	0.854892963077873	1	0	0
153	0	143	13	1	38	0	122	1.16091782308649	1	0	0
154	1	129	79	0	37	0	120	0.705118616926484	1	0	0
155	1	34	109	0	36	0	122	3.12899152596947	0	0	0
156	1	69	129	1	39	0	120	0.862404546001926	1	0	0
157	0	40	5	0	38	0	122	2.09237510210369	1	0	0
158	1	9	6	0	37	0	120	2.35710719099734	1	0	0
159	1	10	29	1	36	0	120	1.98876740701962	1	0	0
160	0	58	24	1	35	0	122	0.857425897964276	1	0	0
161	0	149	121	1	34	0	122	2.92142614489421	1	0	0
162	0	89	19	0	33	0	122	0.781675142934546	1	0	0
163	1	84	46	0	31	0	120	1.11463941598777	1	0	0
164	1	118	8	1	30	0	120	2.98771727900021	1	0	0
165	0	116	19	0	29	0	122	0.817320109927095	1	0	0
166	1	96	33	0	28	0	120	0.710536545957439	1	0	0
167	1	150	136	1	27	0	120	0.869893051916733	1	0	0
168	1	23	104	0	26	0	120	1.68878453096841	1	0	0
169	1	124	30	0	26	0	120	0.731137408991344	1	0	0
170	0	29	125	0	25	0	122	1.39473503502086	1	0	0
171	1	30	53	0	24	0	120	1.42472851101775	1	0	0
172	1	149	13	0	23	0	122	0.908072808990255	0	0	0
173	0	98	56	1	25	0	122	3.07702376192901	1	0	0
174	0	123	15	0	25	0	122	1.10414882597979	1	0	0
175	0	138	113	0	24	0	122	1.48866754211485	1	0	0
176	0	114	56	1	23	0	122	1.13086763105821	1	0	0
177	1	65	124	1	22	0	120	0.770928325946443	1	0	0
178	0	59	10	1	21	0	122	0.832591452053748	1	0	0
179	1	65	117	0	20	0	120	0.996325639076531	1	0	0
180	1	63	45	1	19	0	120	1.67401989595965	1	0	0
181	1	121	114	0	18	0	120	5.15649539697915	1	0	0
182	1	7	82	1	18	0	120	2.13904772500973	1	0	0
183	1	136	106	0	17	0	120	0.786075349082239	1	0	0
184	0	16	6	1	16	0	122	1.80836033902597	1	0	0
185	0	97	57	1	15	0	122	0.796719540958293	1	0	0
186	0	100	100	1	14	0	122	3.02670286700595	1	0	0
187	1	146	102	1	14	0	122	2.19860985095147	0	0	0
188	1	136	112	1	16	0	120	4.2289093399886	1	0	0
189	1	50	80	1	15	0	120	3.98448957595974	1	0	0
190	1	98	146	0	14	0	120	1.03912916698027	1	0	0
191	1	117	99	0	14	0	120	3.94686169701163	1	0	0
192	0	92	44	1	13	0	120	0.938063626992516	0	0	0
193	0	16	76	1	15	0	120	3.72190220095217	0	0	0
194	1	66	93	0	17	0	120	3.69875601900276	1	0	0
195	1	138	70	1	17	0	120	3.78779285494238	1	0	0
196	1	64	131	0	16	0	120	1.20148197689559	1	0	0
197	1	91	140	0	15	0	120	6.57470139698125	1	0	0
198	1	112	68	1	14	0	122	5.05708946997765	0	0	0
199	1	13	83	0	17	0	120	2.95106696896255	1	0	0
200	1	136	37	0	16	0	120	4.64639990299474	1	0	0
201	1	46	84	1	15	0	122	3.98120023496449	0	0	0
202	0	86	13	1	23	0	122	0.91560574201867	1	0	0
203	1	7	118	1	20	0	120	0.739748366060667	1	0	0
204	1	72	107	0	18	0	120	1.9595682079671	1	0	0
205	0	66	13	1	16	0	122	1.67006542603485	1	0	0
206	0	31	62	0	14	0	122	0.976499286014587	1	0	0
207	0	44	65	0	11	0	122	1.40892590594012	1	0	0
208	0	50	145	0	9	0	120	1.45138257695362	0	0	0
209	1	41	91	0	16	0	120	4.01560353895184	1	0	0
210	1	51	147	0	14	0	120	1.02816818200517	1	0	0
211	0	23	87	0	12	0	122	2.95127933099866	1	0	0
